Title,Author,Total ratings,Average rating,Total reviews,Description,Top Genre,Date published,Pages,Currently reading,Want to read
The Lost Symbol,Dan Brown,586963.0,3.74,29179.0,"WHAT IS LOST...WILL BE FOUNDIn this stunning follow-up to the global phenomenon The Da Vinci Code, Dan Brown demonstrates once again why he is the world's most popular thriller writer. The Lost Symbol is a masterstroke of storytelling - a deadly race through a real-world labyrinth of codes, secrets, and unseen truths...all under the watchful eye of Brown's most terrifying villain to date. Set within the hidden chambers, tunnels, and temples of Washington, DC., The Lost Symbol accelerates through a startling landscape toward an unthinkable finale.As the story opens, Harvard symbologist Robert Langdon is summoned unexpectedly to deliver an evening lecture in the U.S. Capitol Building. Within minutes of his arrival, however, the night takes a bizarre turn. A disturbing object - artfully encoded with five symbols - is discovered in the Capitol Building. Langdon recognizes the object as an ancient invitation...one meant to usher its recipient into a long-lost world of esoteric wisdom.When Langdon's beloved mentor, Peter Solomon - a prominent Mason and philanthropist - is brutally kidnapped, Langdon realizes his only hope of saving Peter is to accept this mystical invitation and follow wherever it leads him. Langdon is instantly into a clandestine world of Masonic secrets, hidden history, and never-before-seen locations - all of which seem to be dragging him toward a single, inconceivable truth.As the world discovered in The Da Vinci Code and Angels & Demons, Dan Brown's novels are brilliant tapestries of veiled histories, arcane symbols, and enigmatic codes. In this new novel, he again challenges readers with an intelligent, lightning-paced story that offers surprises at every turn. The Lost Symbol is exactly what Brown's fans have been waiting for...his most thrilling novel yet.(jacket)",Fiction,"September 15, 2009",509,15.7k,177k
Justin Bieber: His World,Riley Brooks,850.0,4.42,39.0,"Justin Bieber is the biggest pop sensation since the Jonas Brothers and he's even cuter!Justin Bieber has taken the pop music world by storm. This tween cutie is making girls everywhere swoon with Bieber fever thanks to his catchy tunes, smooth dance moves, big blue eyes and adorable grin. Justin was born in Canada and became a YouTube sensation when he was only 12 years old. He's now signed with Island Def Jam Records and hit the top of the charts with his first album, My World. Justin is working with music heavyweights like P. Diddy and Usher and has numerous singles and a rabid fan base! In February 2010 Justin will hit the big screens in a 3D movie that documents his life called Justin Bieber: Never Say Never. This book has all the facts about Justin and tons of fun photos!",Music,"June 7, 2010",48,15,936
Animal Farm,George Orwell,3571416.0,3.98,84040.0,"“All animals are equal, but some animals are more equal than others.” A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned—a razor-edged fairy tale for grown-ups that records the evolution from revolution against tyranny to a totalitarianism just as terrible.  When Animal Farm was first published, Stalinist Russia was seen as its target. Today it is devastatingly clear that wherever and whenever freedom is attacked, under whatever banner, the cutting clarity and savage comedy of George Orwell’s masterpiece have a meaning and message still ferociously fresh.",Classics,"August 17, 1945",122,41.4k,1m
Confessions of a Shopaholic,Sophie Kinsella,721583.0,3.68,13454.0,"Becky has a fabulous flat in London's trendiest neighborhood, a troupe of glamorous socialite friends, and a closet brimming with the season's must-haves. The only trouble is that she can't actually afford it–not any of it.Her job writing at Successful Savings not only bores her to tears, it doesn't pay much at all. And lately Becky's been chased by dismal letters from the bank –letters with large red sums she can't bear to read–and they're getting ever harder to ignore.She tries cutting back. But none of her efforts succeeds. Becky's only consolation is to buy herself something ... just a little something....Finally a story arises that Becky actually cares about, and her front-page article catalyzes a chain of events that will transform her life–and the lives of those around her–forever.",Chick Lit,"January 1, 2000",368,"3,477",210k
"The O'Reilly Factor: The Good, the Bad, and the Completely Ridiculous in American Life",Bill O'Reilly,1439.0,3.22,83.0,"The million-copy New York Times bestseller from the Fox News anchor who’s brought new excitement–and massive amounts of populist common sense and rock-solid honesty–to television news.Now four seasons strong, Bill O’Reilly’s nightly cable news program, “The O’Reilly Factor,” is one of the hottest shows on the air. In book form, The O’Reilly Factor has sold over a million copies and spent fourteen weeks at the top of the New York Times bestseller list. Obviously, Bill O'Reilly has made his mark. His blunt, ironic, no-holds-barred style has earned him a devoted audience–friends and foes alike–who send him five thousand letters every week. And with the wit and intelligence that have made him one of the most talked-about stars in both television and publishing, O’Reilly continues to identify what’s right, what’s wrong, and what’s absurd in the political, social, economic, and cultural life of America.",Politics,"January 1, 2000",224,30,597
"I Want to Tell You: My Response to Your Letters, Your Messages, Your Questions",O.J. Simpson,254.0,2.29,33.0,"As O.J. waits to be judged by a jury of his peers, his commentary, thoughts, and relections are juxaposed with letters selected from the more than 300,000 he has received from people across the United States, since being incarcerate at the Los Angeles County Jail.",Nonfiction,"January 1, 1995",208,5,359
The Christmas Sweater,Glenn Beck,15975.0,3.81,2616.0,"If You Could Change Your Life by Reversing Your Biggest Regrets, Sorrows and Mistakes...Would You?#1 New York Times bestselling author and renowned radio and television host Glenn Beck delivers an instant holiday classic about boyhood memories, wrenching life lessons, and the true meaning of the gifts we give to one another in love.We weren't wealthy, we weren't poor -- we just were. We never wanted for anything, except maybe more time together....When Eddie was twelve years old, all he wanted for Christmas was a bike. Although his life had gotten harder -- and money tighter -- since his father died and the family bakery closed...Eddie dreamed that somehow his mother would find a way to have his dream bike gleaming beside their modest Christmas tree that magical morning.What he got from her instead was a sweater. ""A stupid, handmade, ugly sweater"" that young Eddie left in a crumpled ball in the corner of his room.Scarred deeply by the realization that kids don't always get what they want, and too young to understand that he already owned life's most valuable treasures, that Christmas morning was the beginning of Eddie's dark and painful journey on the road to manhood. It will take wrestling with himself, his faith, and his family -- and the guidance of a mysterious neighbor named Russell -- to help Eddie find his path through the storm clouds of life and finally see the real significance of that simple gift his mother had crafted by hand with love in her heart.Based on a deeply personal true story, The Christmas Sweater is a warm and poignant tale of family, faith and forgiveness that offers us a glimpse of our own lives -- while also making us question if we really know what's most important in them.",Christmas,"November 11, 2008",284,167,"4,686"
Fifty Shades Freed,E.L. James,817008.0,3.84,27338.0,"When unworldly student Anastasia Steele first encountered the driven and dazzling young entrepreneur Christian Grey it sparked a sensual affair that changed both of their lives irrevocably. Shocked, intrigued, and, ultimately, repelled by Christian’s singular erotic tastes, Ana demands a deeper commitment. Determined to keep her, Christian agrees.Now, Ana and Christian have it all—love, passion, intimacy, wealth, and a world of possibilities for their future. But Ana knows that loving her Fifty Shades will not be easy, and that being together will pose challenges that neither of them would anticipate. Ana must somehow learn to share Christian’s opulent lifestyle without sacrificing her own identity. And Christian must overcome his compulsion to control as he wrestles with the demons of a tormented past.Just when it seems that their strength together will eclipse any obstacle, misfortune, malice, and fate conspire to make Ana’s deepest fears turn to reality.This book is intended for mature audiences.",Romance,"April 17, 2012",579,16.6k,168k
Atonement,Ian McEwan,497727.0,3.93,20756.0,"Ian McEwan’s symphonic novel of love and war, childhood and class, guilt and forgiveness provides all the satisfaction of a brilliant narrative and the provocation we have come to expect from this master of English prose.On a hot summer day in 1935, thirteen-year-old Briony Tallis witnesses the flirtation between her older sister, Cecilia, and Robbie Turner, the son of a servant. But Briony’s incomplete grasp of adult motives and her precocious imagination bring about a crime that will change all their lives, a crime whose repercussions Atonement follows through the chaos and carnage of World War II and into the close of the twentieth century.",Fiction,"January 1, 2001",351,10.2k,336k
The Red Badge of Courage,Stephen Crane,100808.0,3.28,4176.0,"Henry Fleming has joined the Union army because of his romantic ideas of military life, but soon finds himself in the middle of a battle against a regiment of Confederate soldiers. Terrified, Henry deserts his comrades. Upon returning to his regiment, he struggles with his shame as he tries to redeem himself and prove his courage.The Red Badge of Courage is Stephen Crane’s second book, notable for its realism and the fact that Crane had never personally experienced battle. Crane drew heavy inspiration from Century Magazine, a periodical known for its articles about the American Civil War. However, he criticized the articles for their lack of emotional depth and decided to write a war novel of his own. The manuscript was first serialized in December 1894 by The Philadelphia Press and quickly won Crane international acclaim before he died in June 1900 at the age of 28.",Classics,"October 1, 1895",149,"2,783",36.8k
The Giver,Lois Lowry,2283302.0,4.12,75052.0,"At the age of twelve, Jonas, a young boy from a seemingly utopian, futuristic world, is singled out to receive special training from The Giver, who alone holds the memories of the true joys and pain of life.",Young Adult,"April 26, 1993",208,24.8k,656k
The Purpose Driven Life: What on Earth Am I Here for?,Rick Warren,263767.0,3.96,3787.0,"A #1 New York Times bestseller, The Purpose Driven Life will help you understand why you are alive and reveal God's amazing plan for you both here and now, and for eternity. Rick Warren will guide you through a personal forty-day spiritual journey that will transform your answer to life's most important question: What on earth am I here for? Knowing God's purpose for creating you will reduce your stress, focus your energy, simplify your decisions, give meaning to your life, and most important, prepare you for eternity. Movie stars and political leaders aren't the only ones turning to Rick Warren for spiritual guidance. Millions of people from NBA and LPGA players to corporate executives to high school students to prison inmates meet regularly to discuss The Purpose Driven Life.",Christian,"January 1, 2002",336,13k,126k
Introduction to Scientology Ethics,L. Ron Hubbard,253.0,3.32,13.0,"There s never been a way for man to right the wrongs committed, or to know with certainty which choices will ensure a brilliant and successful future. But now there is.  With this book you can learn the technology of ethics and use it to keep your feet firmly on the road to freedom.  The material in this book is not something someone does for you, it s a personal matter. Learn it well, use it to keep your own counsel and be true to your own goals.  The world can become pretty savage but with a full understanding of Scientology ethics and justice you will know exactly how to bring order to your life and the lives of your fellows.",Religion,"January 1, 1970",468,11,206
Who's Looking Out for You?,Bill O'Reilly,1470.0,3.39,91.0,"From the mega-bestselling author of The O'Reilly Factor and The No Spin Zone , a no-holds-barred exposé of the people and institutions who are letting Americans down – and what we should do about it.Bill O’Reilly is mad as hell – and he’s not going to let you take it anymore. In his most powerful and personal book yet, this media powerhouse and unstoppable truth-teller takes on those individuals and institutions in American life who are failing in their duties – big-time. In his inimitable style, mixing wit, pugnacity, and plain common sense, O’Reilly kicks butt and takes (and also names) names – from crooked corporate weasels to venal politicians to lazy and/or politically correct bureaucrats to sexually predatory priests and the Church hierarchy that protects them to a media establishment rife with political bias and economically hooked on violence and smut. At the same time that he calls the famous and powerful to account, he dares to get personal, questioning just how much our closest friends, families, and lovers do look out for us, and delivering a powerful message about personal responsibility and self-reliance in an uncertain world. He forces us to ask just how much genuine altruism is left in a society that thrives on self-indulgence and ruthless competition.Who’s Looking Out for You? is a book that boldly confronts our worst fears and biggest problems in a post-9/11, post-corporate-meltdown world. Its sage, candid advice on regaining control and trust in these troubled times will resonate with the millions of readers and viewers who have come to believe in Bill O’Reilly as the man who speaks for them .",Politics,"September 23, 2003",213,22,441
To Kill a Mockingbird,Harper Lee,5686795.0,4.27,110098.0,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it. ""To Kill A Mockingbird"" became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.Compassionate, dramatic, and deeply moving, ""To Kill A Mockingbird"" takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.",Classics,"January 1, 1960",323,80.6k,2m
Lord of the Flies,William Golding,2736769.0,3.69,50424.0,"At the dawn of the next world war, a plane crashes on an uncharted island, stranding a group of schoolboys. At first, with no adult supervision, their freedom is something to celebrate; this far from civilization the boys can do anything they want. Anything. They attempt to forge their own society, failing, however, in the face of terror, sin and evil. And as order collapses, as strange howls echo in the night, as terror begins its reign, the hope of adventure seems as far from reality as the hope of being rescued. Labeled a parable, an allegory, a myth, a morality tale, a parody, a political treatise, even a vision of the apocalypse, Lord of the Flies is perhaps our most memorable novel about “the end of innocence, the darkness of man’s heart.”",Classics,"September 17, 1954",182,35.3k,992k
Fahrenheit 451,Ray Bradbury,2213531.0,3.97,66069.0,"Sixty years after its original publication, Ray Bradbury’s internationally acclaimed novel Fahrenheit 451 stands as a classic of world literature set in a bleak, dystopian future. Today its message has grown more relevant than ever before.Guy Montag is a fireman. His job is to destroy the most illegal of commodities, the printed book, along with the houses in which they are hidden. Montag never questions the destruction and ruin his actions produce, returning each day to his bland life and wife, Mildred, who spends all day with her television “family.” But when he meets an eccentric young neighbor, Clarisse, who introduces him to a past where people didn’t live in fear and to a present where one sees the world through the ideas in books instead of the mindless chatter of television, Montag begins to question everything he has ever known.",Classics,"October 19, 1953",194,37.8k,1m
Fallen,Lauren Kate,565085.0,3.72,21386.0,"There’s something achingly familiar about Daniel Grigori.Mysterious and aloof, he captures Luce Price’s attention from the moment she sees him on her first day at the Sword & Cross boarding school in sultry Savannah, Georgia. He’s the one bright spot in a place where cell phones are forbidden, the other students are all screw-ups, and security cameras watch every move.Even though Daniel wants nothing to do with Luce—and goes out of his way to make that very clear—she can’t let it go. Drawn to him like a moth to a flame, she has to find out what Daniel is so desperate to keep secret… even if it kills her.",Young Adult,"December 8, 2009",452,"9,652",393k
Heart of Darkness,Joseph Conrad,485961.0,3.43,18532.0,"Heart of Darkness, a novel by Joseph Conrad, was originally a three-part series in Blackwood's Magazine in 1899. It is a story within a story, following a character named Charlie Marlow, who recounts his adventure to a group of men onboard an anchored ship. The story told is of his early life as a ferry boat captain. Although his job was to transport ivory downriver, Charlie develops an interest in investing an ivory procurement agent, Kurtz, who is employed by the government. Preceded by his reputation as a brilliant emissary of progress, Kurtz has now established himself as a god among the natives in “one of the darkest places on earth.” Marlow suspects something else of Kurtz: he has gone mad.A reflection on corruptive European colonialism and a journey into the nightmare psyche of one of the corrupted, Heart of Darkness is considered one of the most influential works ever written.",Classics,"January 1, 1899",188,17.9k,252k
The Host,Stephenie Meyer,977283.0,3.85,43119.0,"Melanie Stryder refuses to fade away. The earth has been invaded by a species that take over the minds of human hosts while leaving their bodies intact. Wanderer, the invading ""soul"" who has been given Melanie's body, didn't expect to find its former tenant refusing to relinquish possession of her mind.As Melanie fills Wanderer's thoughts with visions of Jared, a human who still lives in hiding, Wanderer begins to yearn for a man she's never met. Reluctant allies, Wanderer and Melanie set off to search for the man they both love.Also see: Alternate Cover Editions for this ISBN [ACE]  
ACE #1
 - 
ACE #2
",Young Adult,"May 6, 2008",624,11.8k,346k
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,7101.0,3.80,786.0,"Glenn Beck, the New York Times bestselling author of The Great Reset, revisits Thomas Paine's Common Sense .In any era, great Americans inspire us to reach our full potential. They know with conviction what they believe within themselves. They understand that all actions have consequences. And they find commonsense solutions to the nation’s problems.One such American, Thomas Paine, was an ordinary man who changed the course of history by penning Common Sense, the concise 1776 masterpiece in which, through extraordinarily straightforward and indisputable arguments, he encouraged his fellow citizens to take control of America’s future—and, ultimately, her freedom.Nearly two and a half centuries later, those very freedoms once again hang in the balance. And now, Glenn Beck revisits Paine’s powerful treatise with one purpose: to galvanize Americans to see past government’s easy solutions, two-party monopoly, and illogical methods and take back our great country.",Politics,"January 1, 2009",174,266,"3,161"
Cold Mountain,Charles Frazier,237400.0,3.88,6269.0,"Cold Mountain is a novel about a soldier’s perilous journey back to his beloved near the Civil War's end. At once a love story & a harrowing account of one man’s long walk home, Cold Mountain introduces a new talent in American literature.Based on local history & family stories passed down by Frazier’s great-great-grandfather, Cold Mountain is the tale of a wounded Confederate soldier, Inman, who walks away from the ravages of the war & back home to his prewar sweetheart, Ada. His odyssey thru the devastated landscape of the soon-to-be-defeated South interweaves with Ada’s struggle to revive her father’s farm, with the help of an intrepid young drifter named Ruby. As their long-separated lives begin to converge at the close of the war, Inman & Ada confront the vastly transformed world they’ve been delivered.Frazier reveals insight into human relations with the land & the dangers of solitude. He also shares with the great 19th century novelists a keen observation of a society undergoing change. Cold Mountain recreates a world gone by that speaks to our time.",Historical Fiction,"January 1, 1997",449,"2,735",96.5k
Tess of the D'Urbervilles,Thomas Hardy,271899.0,3.82,10939.0,"Alternate cover edition of ISBN 9780141439594.When Tess Durbeyfield is driven by family poverty to claim kinship with the wealthy D'Urbervilles and seek a portion of their family fortune, meeting her 'cousin' Alec proves to be her downfall. A very different man, Angel Clare, seems to offer her love and salvation, but Tess must choose whether to reveal her past or remain silent in the hope of a peaceful future.",Classics,"January 1, 1891",518,11.2k,193k
Atlas Shrugged,Ayn Rand,380323.0,3.69,19347.0,"This is the story of a man who said that he would stop the motor of the world and did. Was he a destroyer or the greatest of liberators?Why did he have to fight his battle, not against his enemies, but against those who needed him most, and his hardest battle against the woman he loved? What is the world’s motor — and the motive power of every man? You will know the answer to these questions when you discover the reason behind the baffling events that play havoc with the lives of the characters in this story. Tremendous in its scope, this novel presents an astounding panorama of human life — from the productive genius who becomes a worthless playboy — to the great steel industrialist who does not know that he is working for his own destruction — to the philosopher who becomes a pirate — to the composer who gives up his career on the night of his triumph — to the woman who runs a transcontinental railroad — to the lowest track worker in her Terminal tunnels. You must be prepared, when you read this novel, to check every premise at the root of your convictions.This is a mystery story, not about the murder — and rebirth — of man’s spirit. It is a philosophical revolution, told in the form of an action thriller of violent events, a ruthlessly brilliant plot structure and an irresistible suspense. Do you say this is impossible? Well, that is the first of your premises to check.",Fiction,"October 10, 1957",1168,590,"8,774"
On the Road,Jack Kerouac,392259.0,3.62,18134.0,"A quintessential novel of America & the Beat Generation On the Road chronicles Jack Kerouac's years traveling the N. American continent with his friend Neal Cassady, ""a sideburned hero of the snowy West."" As ""Sal Paradise"" & ""Dean Moriarty,"" the two roam the country in a quest for self-knowledge & experience. Kerouac's love of America, compassion for humanity & sense of language as jazz combine to make On the Road an inspirational work of lasting importance. This classic novel of freedom & longing defined what it meant to be ""Beat"" & has inspired every generation since its initial publication.",Classics,"September 5, 1957",307,18.1k,279k
The Alchemist,Paulo Coelho,2789384.0,3.90,108792.0,"Combining magic, mysticism, wisdom, and wonder into an inspiring tale of self-discovery, The Alchemist has become a modern classic, selling millions of copies around the world and transforming the lives of countless readers across generations.Paulo Coelho's masterpiece tells the mystical story of Santiago, an Andalusian shepherd boy who yearns to travel in search of a worldly treasure. His quest will lead him to riches far different—and far more satisfying—than he ever imagined. Santiago's journey teaches us about the essential wisdom of listening to our hearts, recognizing opportunity and learning to read the omens strewn along life's path, and, most importantly, following our dreams.",Fiction,"January 1, 1988",182,74.4k,2m
Chicken Soup for the Soul,Jack Canfield,39406.0,3.96,1014.0,"Two of America's best-loved inspirational speakers share the very best of their collected stories and favorite tales that have touched the hearts of people everywhere. Canfield and Hansen bring you wit and wisdom, hope and empowerment to buoy you through life's dark moments.",Nonfiction,"January 1, 1993",428,"2,227",21.9k
Interview with the Vampire,Anne Rice,557675.0,4.01,14205.0,"This is the story of Louis, as told in his own words, of his journey through mortal and immortal life. Louis recounts how he became a vampire at the hands of the radiant and sinister Lestat and how he became indoctrinated, unwillingly, into the vampire way of life. His story ebbs and flows through the streets of New Orleans, defining crucial moments such as his discovery of the exquisite lost young child Claudia, wanting not to hurt but to comfort her with the last breaths of humanity he has inside. Yet, he makes Claudia a vampire, trapping her womanly passion, will, and intelligence inside the body of a small child. Louis and Claudia form a seemingly unbreakable alliance and even ""settle down"" for a while in the opulent French Quarter. Louis remembers Claudia's struggle to understand herself and the hatred they both have for Lestat that sends them halfway across the world to seek others of their kind. Louis and Claudia are desperate to find somewhere they belong, to find others who understand, and someone who knows what and why they are.Louis and Claudia travel Europe, eventually coming to Paris and the ragingly successful Theatre des Vampires--a theatre of vampires pretending to be mortals pretending to be vampires. Here they meet the magnetic and ethereal Armand, who brings them into a whole society of vampires. But Louis and Claudia find that finding others like themselves provides no easy answers and in fact presents dangers they scarcely imagined.Originally begun as a short story, the book took off as Anne wrote it, spinning the tragic and triumphant life experiences of a soul. As well as the struggles of its characters, Interview captures the political and social changes of two continents. The novel also introduces Lestat, Anne's most enduring character, a heady mixture of attraction and revulsion. The book, full of lush description, centers on the themes of immortality, change, loss, sexuality, and power.source: annerice.com",Horror,"April 12, 1976",346,12.6k,245k
The House on Mango Street,Sandra Cisneros,170266.0,3.69,14934.0,"Acclaimed by critics, beloved by readers of all ages, taught everywhere from inner-city grade schools to universities across the country, and translated all over the world, The House on Mango Street is the remarkable story of Esperanza Cordero. Told in a series of vignettes – sometimes heartbreaking, sometimes deeply joyous–it is the story of a young Latina girl growing up in Chicago, inventing for herself who and what she will become. Few other books in our time have touched so many readers.",Fiction,"January 1, 1984",110,"6,644",101k
Bridget Jones's Diary,Helen Fielding,952550.0,3.80,11710.0,"Meet Bridget Jones —a 30-something Singleton who is certain she would have all the answers if she could:a. lose 7 poundsb. stop smokingc. develop Inner Poise""129 lbs. (how is it possible to put on 4 pounds in the middle of the night? Could flesh have somehow solidified becoming denser and heavier? Repulsive, horrifying notion), alcohol units 4 (excellent), cigarettes 21 (poor but will give up totally tomorrow), number of correct lottery numbers 2 (better, but nevertheless useless)...""""Bridget Jones' Diary"" is the devastatingly self-aware, laugh-out-loud daily chronicle of Bridget's permanent, doomed quest for self-improvement — a year in which she resolves to: reduce the circumference of each thigh by 1.5 inches, visit the gym three times a week not just to buy a sandwich, form a functional relationship with a responsible adult - and learn to program the VCR.Over the course of the year, Bridget loses a total of 72 pounds but gains a total of 74. She remains, however, optimistic. Through it all, Bridget will have you helpless with laughter, and — like millions of readers the world round — you'll find yourself shouting, ""Bridget Jones is me!""",Fiction,"January 1, 1996",271,"3,915",301k
Things Fall Apart,Chinua Achebe,348344.0,3.72,18044.0,"A simple story of a ""strong man"" whose life is dominated by fear and anger, Things Fall Apart is written with remarkable economy and subtle irony. Uniquely and richly African, at the same time it reveals Achebe's keen awareness of the human qualities common to men of all times and places.",Fiction,"January 1, 1958",209,"9,670",207k
The Pearl,John Steinbeck,222620.0,3.52,11260.0,"Like his father and grandfather before him, Kino is a poor diver, gathering pearls from the gulf beds that once brought great wealth to the kings of Spain and now provide Kino, Juana, and their infant son with meager subsistence. Then, on a day like any other, Kino emerges from the sea with a pearl as large as a sea gull’s egg, as “perfect as the moon.” With the pearl comes hope, the promise of comfort and of security…A story of classic simplicity, based on a Mexican folk tale, The Pearl explores the secrets of man’s nature, greed, the darkest depths of evil, and the luminous possibilities of love.",Classics,"January 1, 1947",96,"3,049",76.3k
Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,589074.0,3.54,25719.0,"When Dorothy triumphed over the Wicked Witch of the West in L. Frank Baum's classic tale we heard only her side of the story. But what about her arch-nemesis, the mysterious Witch? Where did she come from? How did she become so wicked? And what is the true nature of evil?Gregory Maguire creates a fantasy world so rich and vivid that we will never look at Oz the same way again. Wicked is about a land where animals talk and strive to be treated like first-class citizens, Munchkinlanders seek the comfort of middle-class stability, and the Tin Man becomes a victim of domestic violence. And then there is the little green-skinned girl named Elphaba, who will grow up to become the infamous Wicked Witch of the West, a smart, prickly, and misunderstood creature who challenges all our preconceived notions about the nature of good and evil.An astonishingly rich re-creation of the land of Oz, this book retells the story of Elphaba, the Wicked Witch of the West, who wasn't so wicked after all. Taking readers past the yellow brick road and into a phantasmagoric world rich with imagination and allegory, Gregory Maguire just might change the reputation of one of the most sinister characters in literature.",Fantasy,"September 29, 1995",406,13.6k,261k
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,222413.0,3.78,10103.0,"Robert M. Pirsig's Zen & the Art of Motorcycle Maintenance is an examination of how we live, a meditation on how to live better set around the narration of a summer motorcycle trip across America's Northwest, undertaken by a father & his young son.",Philosophy,"April 1, 1974",540,19.2k,204k
"Dude, Where's My Country?",Michael Moore,15289.0,3.41,399.0,"In case anyone in Washington hasn't noticed, Americans are fed up with the status quo. In this, the first shot fired over the bow of the 2004 Presidential election, Michael Moore aims to unseat the man who slithered into the White House on tracks built by the bloody hands of Enron and greased with the oil of his daddy. As if an unelected, semi-literate president weren't problem enough, America's Democrats have managed to take the liberty out of ""liberal,"" signing on with the G.O.P. for dirty corporate money and the ill-gotten gains of globalization. The ""left"" is just as satisfied as the right to stand idly by as the chasm between the haves and the have-nots grows wider and wider.Thank god for Michael Moore because Dude, Where's My Country tells us precisely what went wrong, and, more importantly, how to fix things. In a voice that is fearless, funny, and furious, Moore takes readers to the edge of righteous laughter and divine revenge.",Nonfiction,"January 1, 2003",249,113,"2,926"
Marked,P.C. Cast,477139.0,3.81,15600.0,"Also see: Alternate Cover Editions for this ISBN [ACE]  
ACE #1
After a Vampire Tracker Marks her with a crescent moon on her forehead, 16-year-old Zoey Redbird enters the House of Night and learns that she is no average fledgling. She has been Marked as special by the vampyre Goddess Nyx and has affinities for all five elements: Air, Fire, Water, Earth and Spirit. But she is not the only fledgling at the House of Night with special powers. When she discovers that the leader of the Dark Daughters, the school’s most elite club, is misusing her Goddess-given gifts, Zoey must look deep within herself for the courage to embrace her destiny—with a little help from her new vampyre friends (or Nerd Herd, as Aphrodite calls them).",Young Adult,"May 1, 2007",306,"5,043",161k
Prozac Nation,Elizabeth Wurtzel,59777.0,3.62,2203.0,"A harrowing story of breakdowns, suicide attempts, drug therapy, and an eventual journey back to living, this poignant and often hilarious book gives voice to the high incidence of depression among America's youth. A collective cry for help from a generation who have come of age entrenched in the culture of divorce, economic instability, and AIDS, here is the intensely personal story of a young girl full of promise, whose mood swings have risen and fallen like the lines of a sad ballad.",Nonfiction,"January 1, 1994",368,"2,130",79.4k
The Girls' Guide to Hunting and Fishing,Melissa Bank,135599.0,3.35,3505.0,"Generous-hearted and wickedly insightful, The Girls' Guide to Hunting and Fishing maps the progress of Jane Rosenal as she sets out on a personal and spirited expedition through the perilous terrain of sex, love, and relationships as well as the treacherous waters of the workplace. With an unforgettable comic touch, Bank skillfully teases out issues of the heart, puts a new spin on the mating dance, and captures in perfect pitch what it's like to be a young woman coming of age in America today.",Fiction,"December 29, 1998",288,619,59.5k
Anthem,Ayn Rand,148850.0,3.62,10732.0,"Anthem is Ayn Rand's classic tale of a dystopian future of the great ""We""—a world that deprives individuals of a name or independence—that anticipates her later masterpieces, The Fountainhead and Atlas Shrugged. They existed only to serve the state. They were conceived in controlled Palaces of Mating. They died in the Home of the Useless. From cradle to grave, the crowd was one—the great WE.In all that was left of humanity, there was only one man who dared to think, seek, and love. He lived in the dark ages of the future. In a loveless world, he dared to love the woman of his choice. In an age that had lost all trace of science and civilization, he had the courage to seek and find knowledge. But these were not the crimes for which he would be hunted. He was marked for death because he had committed the unpardonable sin: He had stood forth from the mindless human herd. He was a man alone. He had rediscovered the lost and holy word—I.""I worship individuals for their highest possibilities as individuals, and I loathe humanity, for its failure to live up to these possibilities."" —Ayn Rand",Fiction,"May 1, 1938",105,"5,102",49.4k
Lolita,Vladimir Nabokov,794179.0,3.88,34871.0,"Librarian's note: Alternate cover edition of ISBN 9780141182537.Humbert Humbert - scholar, aesthete and romantic - has fallen completely and utterly in love with Dolores Haze, his landlady's gum-snapping, silky skinned twelve-year-old daughter. Reluctantly agreeing to marry Mrs Haze just to be close to Lolita, Humbert suffers greatly in the pursuit of romance; but when Lo herself starts looking for attention elsewhere, he will carry her off on a desperate cross-country misadventure, all in the name of Love. Hilarious, flamboyant, heart-breaking and full of ingenious word play, Lolita is an immaculate, unforgettable masterpiece of obsession, delusion and lust.",Classics,"September 1, 1955",368,40.7k,784k
Forrest Gump,Winston Groom,66187.0,4.03,2978.0,"Meet Forrest Gump, the lovable, herculean, and surprisingly savvy hero of this remarkable comic odyssey. After accidentally becoming the star of University of Alabama's football team, Forrest goes on to become a Vietnam War hero, a world-class Ping-Pong player, a villainous wrestler, and a business tycoon -- as he wonders with childlike wisdom at the insanity all around him. In between misadventures, he manages to compare battle scars with Lyndon Johnson, discover the truth about Richard Nixon, and survive the ups and downs of remaining true to his only love, Jenny, on an extraordinary journey through three decades of the American cultural landscape. Forrest Gump has one heck of a story to tell -- and you've got to read it to believe it...",Fiction,"December 31, 1986",248,"1,142",31.7k
